"COMMON.NAME","SCIENTIFIC.NAME"
"Jungle Myna","Acridotheres fuscus"
"Red-vented Bulbul","Pycnonotus cafer"
"Rufous Treepie","Dendrocitta vagabunda"
"Spotted Dove","Streptopelia chinensis"
"Abbott's Babbler","Malacocincla abbotti"
"Asian Barred Owlet","Glaucidium cuculoides"
"Asian Fairy-bluebird","Irena puella"
"Ashy Drongo","Dicrurus leucophaeus"
"Ashy Woodswallow","Artamus fuscus"
"Asian Koel","Eudynamys scolopaceus"
"Asian Openbill","Anastomus oscitans"
"Asian Pied Starling","Gracupica contra"
"Asian Palm-Swift","Cypsiurus balasiensis"
"Barred Cuckoo-Dove","Macropygia unchall"
"Barn Swallow","Hirundo rustica"
"Baya Weaver","Ploceus philippinus"
"Blue-bearded Bee-eater","Nyctyornis athertoni"
"Bengal Florican","Houbaropsis bengalensis"
"Black-winged Cuckooshrike","Lalage melaschistos"
"Black Bulbul","Hypsipetes leucocephalus"
"Black Drongo","Dicrurus macrocercus"
"Black Stork","Ciconia nigra"
"Black-backed Forktail","Enicurus immaculatus"
"Black-crested Bulbul","Rubigula flaviventris"
"Black-hooded Oriole","Oriolus xanthornus"
"Blossom-headed Parakeet","Psittacula roseata"
"Blue-throated Barbet","Psilopogon asiaticus"
"Black-tailed Crake","Zapornia bicolor"
"Blue Whistling-Thrush","Myophonus caeruleus"
"Brown Shrike","Lanius cristatus"
"Brown Crake","Zapornia akool"
"Bronzed Drongo","Dicrurus aeneus"
"Blue Rock-Thrush","Monticola solitarius"
"Cattle Egret","Bubulcus ibis"
"Chestnut-bellied Rock-Thrush","Monticola rufiventris"
"Chestnut-headed Bee-eater","Merops leschenaulti"
"Chestnut-bellied Nuthatch","Sitta cinnamoventris"
"Chestnut-tailed Starling","Sturnia malabarica"
"Citrine Wagtail","Motacilla citreola"
"Common Hawk-Cuckoo","Hierococcyx varius"
"Collared Falconet","Microhierax caerulescens"
"Collared Owlet","Taenioptynx brodiei"
"Common Greenshank","Tringa nebularia"
"Common Iora","Aegithina tiphia"
"Common Kingfisher","Alcedo atthis"
"Common Myna","Acridotheres tristis"
"Indian Peafowl","Pavo cristatus"
"Common Sandpiper","Actitis hypoleucos"
"Common Snipe","Gallinago gallinago"
"Common Tailorbird","Orthotomus sutorius"
"Crested Goshawk","Accipiter trivirgatus"
"Crested Treeswift","Hemiprocne coronata"
"Crested Serpent-Eagle","Spilornis cheela"
"Oriental Darter","Anhinga melanogaster"
"Crimson Sunbird","Aethopyga siparaja"
"Asian Emerald Dove","Chalcophaps indica"
"Eurasian Collared-Dove","Streptopelia decaocto"
"Eurasian Kestrel","Falco tinnunculus"
"Fulvous-breasted Woodpecker","Dendrocopos macei"
"Golden-fronted Leafbird","Chloropsis aurifrons"
"Green Bee-eater","Merops orientalis"
"Green-billed Malkoha","Phaenicophaeus tristis"
"Greater Flameback","Chrysocolaptes guttacristatus"
"Great Hornbill","Buceros bicornis"
"Greenish Warbler","Phylloscopus trochiloides"
"Greater Yellownape","Chrysophlegma flavinucha"
"Green Imperial-Pigeon","Ducula aenea"
"Green Sandpiper","Tringa ochropus"
"Gray Bushchat","Saxicola ferreus"
"Gray-backed Shrike","Lanius tephronotus"
"Gray-capped Pygmy Woodpecker","Yungipicus canicapillus"
"Gray-headed Woodpecker","Picus canus"
"Gray-headed Canary-Flycatcher","Culicicapa ceylonensis"
"Gray-headed Lapwing","Vanellus cinereus"
"Hair-crested Drongo","Dicrurus hottentottus"
"Common Hill Myna","Gracula religiosa"
"Himalayan Griffon","Gyps himalayensis"
"Hodgson's Redstart","Phoenicurus hodgsoni"
"Eurasian Hoopoe","Upupa epops"
"House Sparrow","Passer domesticus"
"Indochinese Roller","Coracias affinis"
"Indian White-eye","Zosterops palpebrosus"
"Indian Pond-Heron","Ardeola grayii"
"Intermediate Egret","Ardea intermedia"
"Jungle Babbler","Argya striata"
"Large-billed Crow","Corvus macrorhynchos"
"Large Cuckooshrike","Coracina macei"
"Large Woodshrike","Tephrodornis virgatus"
"Large-tailed Nightjar","Caprimulgus macrurus"
"Lesser Adjutant","Leptoptilos javanicus"
"Lesser Yellownape","Picus chlorolophus"
"Lineated Barbet","Psilopogon lineatus"
"Little Pied Flycatcher","Ficedula westermanni"
"Little Ringed Plover","Charadrius dubius"
"Little Cormorant","Microcarbo niger"
"Little Egret","Egretta garzetta"
"Long-billed Plover","Charadrius placidus"
"Long-tailed Shrike","Lanius schach"
"Lesser Racket-tailed Drongo","Dicrurus remifer"
"Oriental Magpie-Robin","Copsychus saularis"
"Hen Harrier","Circus cyaneus"
"Scaly-breasted Munia","Lonchura punctulata"
"Olive-backed Pipit","Anthus hodgsoni"
"Orange-bellied Leafbird","Chloropsis hardwickii"
"Paddyfield Pipit","Anthus rufulus"
"Oriental Pied-Hornbill","Anthracoceros albirostris"
"Oriental Turtle-Dove","Streptopelia orientalis"
"Pied Harrier","Circus melanoleucos"
"Plain Flowerpecker","Dicaeum minullum"
"Ashy-headed Green-Pigeon","Treron phayrei"
"Purple Sunbird","Cinnyris asiaticus"
"Puff-throated Babbler","Pellorneum ruficeps"
"Red-breasted Parakeet","Psittacula alexandri"
"Red Collared-Dove","Streptopelia tranquebarica"
"Red Junglefowl","Gallus gallus"
"Red-tailed Minla","Minla ignotincta"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"Red-wattled Lapwing","Vanellus indicus"
"River Lapwing","Vanellus duvaucelii"
"Rosy Minivet","Pericrocotus roseus"
"Rosy Pipit","Anthus roseatus"
"Rufous-bellied Niltava","Niltava sundara"
"Rufous Woodpecker","Micropternus brachyurus"
"Scarlet Minivet","Pericrocotus speciosus"
"Scarlet-backed Flowerpecker","Dicaeum cruentatum"
"Short-toed Snake-Eagle","Circaetus gallicus"
"Siberian Rubythroat","Calliope calliope"
"Siberian Stonechat","Saxicola maurus"
"Slaty-blue Flycatcher","Ficedula tricolor"
"Small Niltava","Niltava macgrigoriae"
"Spotted Owlet","Athene brama"
"Streaked Spiderhunter","Arachnothera magna"
"Pin-striped Tit-Babbler","Mixornis gularis"
"Swamp Francolin","Ortygornis gularis"
"Taiga Flycatcher","Ficedula albicilla"
"Thick-billed Warbler","Arundinax aedon"
"Velvet-fronted Nuthatch","Sitta frontalis"
"Eurasian Marsh-Harrier","Circus aeruginosus"
"White-breasted Waterhen","Amaurornis phoenicurus"
"White Wagtail","Motacilla alba"
"Whistler's Warbler","Phylloscopus whistleri"
"White-rumped Shama","Copsychus malabaricus"
"White-throated Bulbul","Alophoixus flaveolus"
"White-throated Fantail","Rhipidura albicollis"
"White-throated Kingfisher","Halcyon smyrnensis"
"Great Myna","Acridotheres grandis"
"Changeable Hawk-Eagle","Nisaetus cirrhatus"
"Yellow-browed Warbler","Phylloscopus inornatus"
"Yellow-eyed Babbler","Chrysomma sinense"
"Yellow-footed Green-Pigeon","Treron phoenicopterus"
"Yellow-vented Flowerpecker","Dicaeum chrysorrheum"
"Cinereous Tit","Parus cinereus"
"Bronze-winged Jacana","Metopidius indicus"
"Coppersmith Barbet","Psilopogon haemacephalus"
"Dusky Warbler","Phylloscopus fuscatus"
"House Crow","Corvus splendens"
"Purple-rumped Sunbird","Leptocoma zeylonica"
"Rose-ringed Parakeet","Psittacula krameri"
"Striated Grassbird","Megalurus palustris"
"Alexandrine Parakeet","Psittacula eupatria"
"Bar-headed Goose","Anser indicus"
"Barred Buttonquail","Turnix suscitator"
"Black-crowned Night-Heron","Nycticorax nycticorax"
"Bengal Bushlark","Mirafra assamica"
"Besra","Accipiter virgatus"
"Black-rumped Flameback","Dinopium benghalense"
"Black-winged Stilt","Himantopus himantopus"
"Black Kite","Milvus migrans"
"Black Redstart","Phoenicurus ochruros"
"Black-headed Ibis","Threskiornis melanocephalus"
"Black-naped Monarch","Hypothymis azurea"
"Black-necked Stork","Ephippiorhynchus asiaticus"
"Black-throated Sunbird","Aethopyga saturata"
"Blyth's Leaf Warbler","Phylloscopus reguloides"
"Booted Eagle","Hieraaetus pennatus"
"Blue-tailed Bee-eater","Merops philippinus"
"Clamorous Reed Warbler","Acrocephalus stentoreus"
"Eurasian Moorhen","Gallinula chloropus"
"Common Pochard","Aythya ferina"
"Cotton Pygmy-Goose","Nettapus coromandelianus"
"Collared Scops-Owl","Otus lettia"
"Daurian Redstart","Phoenicurus auroreus"
"Delicate Prinia","Prinia lepida"
"Eared Grebe","Podiceps nigricollis"
"Eurasian Coot","Fulica atra"
"Eurasian Wigeon","Mareca penelope"
"Eurasian Tree Sparrow","Passer montanus"
"Ferruginous Duck","Aythya nyroca"
"Fulvous Whistling-Duck","Dendrocygna bicolor"
"Garganey","Spatula querquedula"
"Green-winged Teal","Anas crecca"
"Golden-headed Cisticola","Cisticola exilis"
"Graylag Goose","Anser anser"
"Gray Heron","Ardea cinerea"
"Great Crested Grebe","Podiceps cristatus"
"Great Cormorant","Phalacrocorax carbo"
"Greater Coucal","Centropus sinensis"
"Great Egret","Ardea alba"
"Greater Painted-Snipe","Rostratula benghalensis"
"Greater Spotted Eagle","Clanga clanga"
"Gray-headed Fish-Eagle","Haliaeetus ichthyaetus"
"Gray-throated Martin","Riparia chinensis"
"Indian Spot-billed Duck","Anas poecilorhyncha"
"Kentish Plover","Charadrius alexandrinus"
"Large Hawk-Cuckoo","Hierococcyx sparverioides"
"Lesser Coucal","Centropus bengalensis"
