"COMMON.NAME","SCIENTIFIC.NAME"
"Alexandrine Parakeet","Psittacula eupatria"
"Andaman Bulbul","Brachypodius fuscoflavescens"
"Andaman Coucal","Centropus andamanensis"
"Andaman Drongo","Dicrurus andamanensis"
"Andaman Flowerpecker","Dicaeum virescens"
"Andaman Shama","Copsychus albiventris"
"Andaman Treepie","Dendrocitta bayleii"
"Andaman Woodpecker","Dryocopus hodgei"
"Andaman Serpent-Eagle","Spilornis elgini"
"Asian Brown Flycatcher","Muscicapa dauurica"
"Asian Fairy-bluebird","Irena puella"
"Asian Glossy Starling","Aplonis panayensis"
"Asian Koel","Eudynamys scolopaceus"
"Black-naped Monarch","Hypothymis azurea"
"Black-naped Oriole","Oriolus chinensis"
"Brown Shrike","Lanius cristatus"
"Blue-tailed Bee-eater","Merops philippinus"
"Collared Kingfisher","Todiramphus chloris"
"Common Myna","Acridotheres tristis"
"Crested Serpent-Eagle","Spilornis cheela"
"Asian Emerald Dove","Chalcophaps indica"
"Forest Wagtail","Dendronanthus indicus"
"Freckle-breasted Woodpecker","Dendrocopos analis"
"Green Imperial-Pigeon","Ducula aenea"
"Greater Racket-tailed Drongo","Dicrurus paradiseus"
"Gray Wagtail","Motacilla cinerea"
"Common Hill Myna","Gracula religiosa"
"Indian Cuckoo","Cuculus micropterus"
"Indian Golden Oriole","Oriolus kundoo"
"Indian Pond-Heron","Ardeola grayii"
"Long-tailed Parakeet","Psittacula longicauda"
"Oriental Magpie-Robin","Copsychus saularis"
"Olive-backed Sunbird","Cinnyris jugularis"
"Orange-headed Thrush","Geokichla citrina"
"Plume-toed Swiftlet","Collocalia affinis"
"Andaman Green-Pigeon","Treron chloropterus"
"Red Collared-Dove","Streptopelia tranquebarica"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"Scarlet Minivet","Pericrocotus speciosus"
"Small Minivet","Pericrocotus cinnamomeus"
"Stork-billed Kingfisher","Pelargopsis capensis"
"Vernal Hanging-Parrot","Loriculus vernalis"
"White-breasted Waterhen","Amaurornis phoenicurus"
"White-headed Starling","Sturnia erythropygia"
"White-throated Kingfisher","Halcyon smyrnensis"
"Andaman Cuckoo-Dove","Macropygia rufipennis"
"Andaman Cuckooshrike","Coracina dobsoni"
"Andaman Boobook","Ninox affinis"
"Andaman Nightjar","Caprimulgus andamanicus"
"Andaman Teal","Anas albogularis"
"Andaman Scops-Owl","Otus balli"
"Andaman Wood-Pigeon","Columba palumboides"
"Barn Swallow","Hirundo rustica"
"Blue-eared Kingfisher","Alcedo meninting"
"Black-hooded Oriole","Oriolus xanthornus"
"Brahminy Kite","Haliastur indus"
"Brown-backed Needletail","Hirundapus giganteus"
"Hume's Boobook","Ninox obscura"
"Cattle Egret","Bubulcus ibis"
"Chestnut-headed Bee-eater","Merops leschenaulti"
"Cinnamon Bittern","Ixobrychus cinnamomeus"
"Clamorous Reed Warbler","Acrocephalus stentoreus"
"Common Kingfisher","Alcedo atthis"
"Eurasian Moorhen","Gallinula chloropus"
"Common Redshank","Tringa totanus"
"Common Sandpiper","Actitis hypoleucos"
"Common Snipe","Gallinago gallinago"
"Cotton Pygmy-Goose","Nettapus coromandelianus"
"Curlew Sandpiper","Calidris ferruginea"
"Daurian Starling","Agropsar sturninus"
"Dollarbird","Eurystomus orientalis"
"Dusky Warbler","Phylloscopus fuscatus"
"Eastern Yellow Wagtail","Motacilla tschutschensis"
"Western Yellow Wagtail","Motacilla flava"
"White-nest Swiftlet","Aerodramus fuciphagus"
"Eurasian Coot","Fulica atra"
"Ferruginous Duck","Aythya nyroca"
"Great Egret","Ardea alba"
"Green Sandpiper","Tringa ochropus"
"Greater Sand-Plover","Charadrius leschenaultii"
"House Crow","Corvus splendens"
"House Sparrow","Passer domesticus"
"Indian White-eye","Zosterops palpebrosus"
"Intermediate Egret","Ardea intermedia"
"Large-billed Crow","Corvus macrorhynchos"
"Large Cuckooshrike","Coracina macei"
"Lesser Sand-Plover","Charadrius mongolus"
"Lesser Whistling-Duck","Dendrocygna javanica"
"Little Ringed Plover","Charadrius dubius"
"Little Egret","Egretta garzetta"
"Long-toed Stint","Calidris subminuta"
"Mangrove Whistler","Pachycephala cinerea"
"Scaly-breasted Munia","Lonchura punctulata"
"Oriental Pratincole","Glareola maldivarum"
"Oriental Reed Warbler","Acrocephalus orientalis"
"Oriental Scops-Owl","Otus sunia"
"Pacific Reef-Heron","Egretta sacra"
"Pacific Swallow","Hirundo tahitica"
"Pacific Golden-Plover","Pluvialis fulva"
"Pheasant-tailed Jacana","Hydrophasianus chirurgus"
"Pied Harrier","Circus melanoleucos"
"Pin-tailed Snipe","Gallinago stenura"
"Purple Heron","Ardea purpurea"
"Gray-headed Swamphen","Porphyrio poliocephalus"
"Red-breasted Parakeet","Psittacula alexandri"
"Red-necked Stint","Calidris ruficollis"
"Red-throated Pipit","Anthus cervinus"
"Siberian Stonechat","Saxicola maurus"
"Striated Heron","Butorides striata"
"Thick-billed Warbler","Arundinax aedon"
"Watercock","Gallicrex cinerea"
"White-bellied Sea-Eagle","Haliaeetus leucogaster"
"White-breasted Woodswallow","Artamus leucorynchus"
"Whimbrel","Numenius phaeopus"
"White-rumped Munia","Lonchura striata"
"Wood Sandpiper","Tringa glareola"
"Changeable Hawk-Eagle","Nisaetus cirrhatus"
"Yellow-browed Warbler","Phylloscopus inornatus"
"Yellow Bittern","Ixobrychus sinensis"
"Ashy Minivet","Pericrocotus divaricatus"
"Asian Openbill","Anastomus oscitans"
"Black-backed Dwarf-Kingfisher","Ceyx erithaca"
"Black Bittern","Ixobrychus flavicollis"
"Black-naped Tern","Sterna sumatrana"
"Blyth's Paradise-Flycatcher","Terpsiphone affinis"
"Brown Boobook","Ninox scutulata"
"Chinese Egret","Egretta eulophotes"
"Crimson Sunbird","Aethopyga siparaja"
"Nicobar Imperial-Pigeon","Ducula nicobarica"
"Hooded Pitta","Pitta sordida"
"Nicobar Jungle-Flycatcher","Cyornis nicobaricus"
"Nicobar Parakeet","Psittacula caniceps"
"Nicobar Scops-Owl","Otus alius"
"Pied Imperial-Pigeon","Ducula bicolor"
"Ashy-crowned Sparrow-Lark","Eremopterix griseus"
