"COMMON.NAME","SCIENTIFIC.NAME"
"Black Kite","Milvus migrans"
"Cattle Egret","Bubulcus ibis"
"Common Sandpiper","Actitis hypoleucos"
"Eurasian Hoopoe","Upupa epops"
"House Crow","Corvus splendens"
"House Sparrow","Passer domesticus"
"Little Ringed Plover","Charadrius dubius"
"Spotted Dove","Streptopelia chinensis"
"White-breasted Waterhen","Amaurornis phoenicurus"
"Wood Sandpiper","Tringa glareola"
"Ashy Drongo","Dicrurus leucophaeus"
"Ashy Prinia","Prinia socialis"
"Ashy Woodswallow","Artamus fuscus"
"Asian Koel","Eudynamys scolopaceus"
"Asian Openbill","Anastomus oscitans"
"Indian Paradise-Flycatcher","Terpsiphone paradisi"
"Asian Palm-Swift","Cypsiurus balasiensis"
"Barn Swallow","Hirundo rustica"
"Baya Weaver","Ploceus philippinus"
"Black-crowned Night-Heron","Nycticorax nycticorax"
"Black-rumped Flameback","Dinopium benghalense"
"Black-winged Kite","Elanus caeruleus"
"Black-winged Stilt","Himantopus himantopus"
"Black Bittern","Ixobrychus flavicollis"
"Black Drongo","Dicrurus macrocercus"
"Blue-faced Malkoha","Phaenicophaeus viridirostris"
"Blyth's Reed Warbler","Acrocephalus dumetorum"
"Brahminy Starling","Sturnia pagodarum"
"Brown Shrike","Lanius cristatus"
"Bronze-winged Jacana","Metopidius indicus"
"Blue-tailed Bee-eater","Merops philippinus"
"Blue-throated Flycatcher","Cyornis rubeculoides"
"Chestnut-tailed Starling","Sturnia malabarica"
"Clamorous Reed Warbler","Acrocephalus stentoreus"
"Common Hawk-Cuckoo","Hierococcyx varius"
"Common Iora","Aegithina tiphia"
"Common Kingfisher","Alcedo atthis"
"Eurasian Moorhen","Gallinula chloropus"
"Common Myna","Acridotheres tristis"
"Indian Peafowl","Pavo cristatus"
"Common Tailorbird","Orthotomus sutorius"
"Common Woodshrike","Tephrodornis pondicerianus"
"Coppersmith Barbet","Psilopogon haemacephalus"
"Cotton Pygmy-Goose","Nettapus coromandelianus"
