"COMMON.NAME","SCIENTIFIC.NAME"
"Abbott's Babbler","Malacocincla abbotti"
"Alexandrine Parakeet","Psittacula eupatria"
"Asian Fairy-bluebird","Irena puella"
"Ashy Bulbul","Hemixos flavala"
"Ashy Drongo","Dicrurus leucophaeus"
"Ashy Woodswallow","Artamus fuscus"
"Asian Koel","Eudynamys scolopaceus"
"Indian Pied Starling","Gracupica contra"
"Asian Palm Swift","Cypsiurus balasiensis"
"Barred Cuckoo-Dove","Macropygia unchall"
"Blue-bearded Bee-eater","Nyctyornis athertoni"
"Black Bulbul","Hypsipetes leucocephalus"
"Black Drongo","Dicrurus macrocercus"
"Black Redstart","Phoenicurus ochruros"
"Black-crested Bulbul","Rubigula flaviventris"
"Black-hooded Oriole","Oriolus xanthornus"
"Black-naped Monarch","Hypothymis azurea"
"Blue-naped Pitta","Hydrornis nipalensis"
"Blue-throated Barbet","Psilopogon asiaticus"
"Brown Boobook","Ninox scutulata"
"Chestnut-headed Bee-eater","Merops leschenaulti"
"Chestnut-bellied Nuthatch","Sitta cinnamoventris"
"Chestnut-tailed Starling","Sturnia malabarica"
"Asian Tit","Parus cinereus"
"Common Hawk-Cuckoo","Hierococcyx varius"
"Common Cuckoo","Cuculus canorus"
"Common Myna","Acridotheres tristis"
"Indian Peafowl","Pavo cristatus"
"Common Tailorbird","Orthotomus sutorius"
"Crested Serpent-Eagle","Spilornis cheela"
"Dollarbird","Eurystomus orientalis"
"Dusky Warbler","Phylloscopus fuscatus"
"Crimson Sunbird","Aethopyga siparaja"
"Asian Emerald Dove","Chalcophaps indica"
"Eurasian Collared-Dove","Streptopelia decaocto"
"Firethroat","Calliope pectardens"
"Golden-fronted Leafbird","Chloropsis aurifrons"
"Green-billed Malkoha","Phaenicophaeus tristis"
"Great Barbet","Psilopogon virens"
"Greater Coucal","Centropus sinensis"
"Greater Flameback","Chrysocolaptes guttacristatus"
"Great Hornbill","Buceros bicornis"
"Greater Yellownape","Chrysophlegma flavinucha"
"Greater Racket-tailed Drongo","Dicrurus paradiseus"
"Gray Treepie","Dendrocitta formosae"
"Hair-crested Drongo","Dicrurus hottentottus"
"Common Hill Myna","Gracula religiosa"
"Himalayan Cuckoo","Cuculus saturatus"
"House Crow","Corvus splendens"
"Indian Cuckoo","Cuculus micropterus"
"Indochinese Roller","Coracias affinis"
"Indian White-eye","Zosterops palpebrosus"
"Jungle Babbler","Argya striata"
"Jungle Myna","Acridotheres fuscus"
"Large-billed Crow","Corvus macrorhynchos"
"Large-tailed Nightjar","Caprimulgus macrurus"
"Lineated Barbet","Psilopogon lineatus"
"Little Cormorant","Microcarbo niger"
"Little Egret","Egretta garzetta"
"Oriental Magpie-Robin","Copsychus saularis"
"Oriental Honey-buzzard","Pernis ptilorhynchus"
"Oriental Pied-Hornbill","Anthracoceros albirostris"
"Oriental Turtle-Dove","Streptopelia orientalis"
"Pale-chinned Flycatcher","Cyornis poliogenys"
"Plaintive Cuckoo","Cacomantis merulinus"
"Red-breasted Parakeet","Psittacula alexandri"
"Red Junglefowl","Gallus gallus"
"Red-naped Ibis","Pseudibis papillosa"
"Red-vented Bulbul","Pycnonotus cafer"
"Red-whiskered Bulbul","Pycnonotus jocosus"
"Red-wattled Lapwing","Vanellus indicus"
"River Lapwing","Vanellus duvaucelii"
"Ruddy Shelduck","Tadorna ferruginea"
"Rufous Treepie","Dendrocitta vagabunda"
"Scarlet Minivet","Pericrocotus speciosus"
"Siberian Rubythroat","Calliope calliope"
"Small Pratincole","Glareola lactea"
"Spotted Dove","Spilopelia chinensis"
"Spot-winged Starling","Saroglossa spilopterus"
"Stork-billed Kingfisher","Pelargopsis capensis"
"Pin-striped Tit-Babbler","Mixornis gularis"
"Taiga Flycatcher","Ficedula albicilla"
"Thick-billed Green-Pigeon","Treron curvirostra"
"White-breasted Waterhen","Amaurornis phoenicurus"
"White-rumped Shama","Copsychus malabaricus"
"White-throated Bulbul","Alophoixus flaveolus"
"White-throated Kingfisher","Halcyon smyrnensis"
"White-tailed Robin","Myiomela leucura"
"Wreathed Hornbill","Rhyticeros undulatus"
"Amur Falcon","Falco amurensis"
"Ashy-crowned Sparrow-Lark","Eremopterix griseus"
"Ashy Prinia","Prinia socialis"
"Square-tailed Drongo-Cuckoo","Surniculus lugubris"
"Asian Openbill","Anastomus oscitans"
"Indian Paradise-Flycatcher","Terpsiphone paradisi"
"Bank Myna","Acridotheres ginginianus"
"Barred Buttonquail","Turnix suscitator"
"Barn Swallow","Hirundo rustica"
